VA,PA,PMU_Type,Rank,Bank,BankGroup
0x7f0183248e00,0x2b6e14e00,14,0,6,2
0x7f013104c100,0x28a32f100,16,0,8,0
0x7f0039c94b00,0x2b1c88b00,17,0,4,0
0x7effacc87a80,0x14f24ea80,14,0,5,1
0x7f001c85e700,0x22a99e700,17,0,2,2
0x7f018bcc1a00,0x2c0dcba00,14,0,12,0
0x7efff1bccb00,0x1e9f4ab00,17,0,4,0
0x7f0116128f00,0x1e8737f00,17,0,14,2
0x7effdfca3700,0x2bef82700,17,0,2,2
0x7effbe61c580,0x2b54b6580,16,0,3,3
0x7effe3775380,0x2e3fbe380,17,0,1,1
0x7f00fc5a4600,0x2bf2d5600,14,0,10,2
0x7f0170a0c400,0x22f1c8400,13,0,2,2
0x7eff92cfd500,0x2747df500,16,0,10,2
0x7f0005111380,0x12405a380,17,0,1,1
0x7f00e47d4f00,0x211731f00,17,0,14,2
0x7effb73e3b00,0x20bbc5b00,17,0,12,0
0x7effc7ea9500,0x225015500,16,0,10,2
0x7f0178f20500,0x273690500,16,0,2,2
0x7f01296dbb80,0x1f17b6b80,17,0,5,1
0x7f00249cf400,0x2855ee400,13,0,2,2
0x7f0079649f80,0x1ee1edf80,17,0,15,3
0x7f005babb580,0x228ca6580,16,0,3,3
0x7effc7fffd80,0x2bb25dd80,16,0,15,3
0x7efff4c5ae80,0x285ba1e80,14,0,15,3
0x7efffddd1700,0x200794700,17,0,2,2
0x7f011ad93280,0x20522c280,14,0,1,1
0x7f011ac82680,0x2258b9680,14,0,11,3
0x7f01687ef900,0x20ad68900,16,0,4,0
0x7f0049fdf180,0x1eb4b2180,16,0,1,1
0x7f00a5d4f280,0x2e55c2280,14,0,1,1
0x7eff9ce28e00,0x2142a9e00,14,0,14,2
0x7f00371a3100,0x206abc100,16,0,0,0
0x7f0116379480,0x269143480,13,0,11,3
0x7f00379d1280,0x2e3976280,14,0,1,1
0x7f011c210280,0x1fcb40280,14,0,1,1
0x7eff977c0600,0x21272b600,14,0,10,2
0x7effeab0a600,0x2b21e5600,14,0,10,2
0x7effc419b180,0x2b20d4180,16,0,1,1
0x7f01253a8900,0x1e7f74900,16,0,4,0
0x7f0080af4680,0x1ccfe4680,14,0,3,3
0x7f015fb94200,0x1f53b8200,14,0,0,0
0x7f0145ebdd80,0x2b5fbbd80,16,0,15,3
0x7f00711f4f80,0x285f99f80,17,0,15,3
0x7f00cdb64480,0x1dcdc8480,13,0,3,3
0x7f010317c300,0x2b1130300,17,0,0,0
0x7f00abb56200,0x216c86200,14,0,0,0
0x7f00ec3b4580,0x20ac3c580,16,0,3,3
0x7effe4645480,0x2b42fa480,13,0,3,3
0x7eff9378a900,0x28d8b5900,16,0,12,0
0x7f005d350a00,0x20404ea00,14,0,4,0
0x7f00ac584e00,0x2e53e6e00,14,0,6,2
0x7eff943c2e80,0x21606de80,14,0,15,3
0x7f010375ac80,0x225062c80,13,0,7,3
0x7f006e567780,0x2e5535780,17,0,11,3
0x7effd2d22000,0x2e4488000,13,0,0,0
0x7f00e264b580,0x2b77ca580,16,0,3,3
0x7f00212b1700,0x1fb6f0700,17,0,2,2
0x7f010b29ab00,0x290a6fb00,17,0,12,0
0x7f00be584980,0x28cc79980,16,0,13,1
0x7f00f4848800,0x22a5d6800,13,0,4,0
0x7f008c080780,0x216046780,17,0,3,3
0x7effca073e00,0x1e64ece00,14,0,6,2
0x7f00efa65d00,0x2b943fd00,16,0,14,2
0x7f0176530700,0x27285c700,17,0,2,2
0x7f014509d980,0x2b2901980,16,0,13,1
0x7effa3559200,0x20554b200,14,0,8,0
0x7effac560180,0x1ecc68180,16,0,1,1
0x7f013007fb80,0x2b1201b80,17,0,13,1
0x7effb8848080,0x2073d6080,13,0,1,1
0x7f015718c380,0x23454a380,17,0,1,1
0x7f0128011100,0x204854100,16,0,0,0
0x7f0070fee300,0x2ccfb0300,17,0,0,0
0x7f00466aec80,0x2b593bc80,13,0,15,3
0x7f0084936f00,0x2bfd5ef00,17,0,6,2
0x7f00f3255e00,0x2125f8e00,14,0,6,2
0x7f015bd02300,0x1d2bd9300,17,0,8,0
0x7f0177eec100,0x2bf0ba100,16,0,0,0
0x7f01708d9280,0x29077e280,14,0,1,1
0x7f017edfd380,0x2107f4380,17,0,1,1
0x7f001e510400,0x26db7f400,13,0,10,2
0x7f006a858b00,0x2b59c8b00,17,0,4,0
0x7effd868b500,0x28cda0500,16,0,2,2
0x7f0070553700,0x2b0448700,17,0,2,2
0x7f0122c41b00,0x2067b6b00,17,0,4,0
0x7effe9ec0400,0x27377e400,13,0,2,2
0x7f00864d3880,0x2bb775880,13,0,13,1
0x7f00df773800,0x2eb964800,13,0,4,0
0x7f0016361d80,0x1efed5d80,16,0,15,3
0x7f00b6918a00,0x1c3b14a00,14,0,4,0
0x7f0119c23b80,0x2b95abb80,17,0,13,1
0x7f004afe6380,0x15e796380,17,0,1,1
0x7f0148812e00,0x2b078ce00,14,0,6,2
0x7effbb06a000,0x202b2f000,13,0,8,0
0x7f00ae9f2280,0x1e3e2c280,14,0,1,1
0x7effe80c3a80,0x21867aa80,14,0,5,1
0x7f0052ed0100,0x1e1497100,16,0,8,0
0x7f018b339d80,0x273cbad80,16,0,7,3
0x7f00bd8a3200,0x2eb553200,14,0,8,0
0x7f00f8634780,0x27467b780,17,0,11,3
0x7f011d7f6c80,0x2b84d5c80,13,0,15,3
0x7f0110c80c00,0x207586c00,13,0,6,2
0x7f002d594100,0x22a3ae100,16,0,0,0
0x7f005035a100,0x2747f7100,16,0,8,0
0x7efffe3e4900,0x22cea3900,16,0,12,0
0x7f000175cb80,0x23421fb80,17,0,13,1
0x7effbf1af380,0x2e8914380,17,0,1,1
0x7f0091afc380,0x22ac46380,17,0,1,1
0x7f0189fe3400,0x20755f400,13,0,10,2
0x7effb047c200,0x20a47f200,14,0,8,0
0x7effc8b9b700,0x20595a700,17,0,2,2
0x7f00a1aa5e00,0x2ce214e00,14,0,6,2
0x7f000902a200,0x1fe033200,14,0,8,0
0x7f003c994f00,0x2bb195f00,17,0,14,2
0x7effe783b000,0x20003a000,13,0,0,0
0x7f0038780180,0x283a0e180,16,0,1,1
0x7f00ff68c200,0x20907a200,14,0,0,0
0x7effafeca280,0x2335b1280,14,0,9,1
0x7f016f9c3200,0x286e62200,14,0,0,0
0x7eff9bee4280,0x20883a280,14,0,1,1
0x7f0183064f00,0x2250baf00,17,0,6,2
0x7f001a77e000,0x1ef445000,13,0,8,0
0x7f006e751d80,0x2bd4e8d80,16,0,7,3
0x7f004c5a4400,0x203733400,13,0,10,2
